id	title	author	authorYearOfBirth	authorYearOfDeath	publishedYear	tokensCount
PG29011	Ηθικά Νικομάχεια, Τόμος Δεύτερος	Aristotle	-384	-322	-1	38450.0
PG29015	Η νέα γυναίκα: Δράμα εις πράξεις τέσσαρας	Parren, Kalliroe	1859	1940	1908	27023.0
PG29062	Λουκής Λάρας	Vikelas, Demetrios	1835	1908	1892	39261.0
PG29833	Πελοποννησιακός Πόλεμος, Τόμος πρώτος	Thucydides	-460	-395	1910	57224.0
PG29834	Πελοποννησιακός Πόλεμος, Τόμος δεύτερος	Thucydides	-460	-395	-1	56396.0
PG29835	Πελοποννησιακός Πόλεμος, Τόμος τρίτος	Thucydides	-460	-395	-1	49628.0
PG29836	Πελοποννησιακός Πόλεμος, Τόμος τέταρτος	Thucydides	-460	-395	-1	49510.0
PG30613	Ομήρου Οδύσσεια Τόμος Α	Homer	-750	-650	-1	33279.0
PG30614	Ομήρου Οδύσσεια Τόμος Β	Homer	-750	-650	-1	34331.0
PG30615	Ομήρου Οδύσσεια Τόμος Γ	Homer	-750	-650	-1	33620.0
PG30616	Ομήρου Οδύσσεια Τόμος Δ	Homer	-750	-650	-1	31184.0
PG30719	Νεφέλαι	Aristophanes	-450	-388	-1	28719.0
PG30741	Ερυξίας, Αξίοχος, Αλκυών	Plato	-428	-348	-1	11564.0
PG30748	Ευθύφρων	Plato	-428	-348	-1	14602.0
PG31400	Κριτίας, Ίππαρχος, Αντερασταί	Plato	-428	-348	-1	18285.0
PG31401	Ο Άγιος Δημήτριος: Μυστήριον εις πράξεις 3	Rodokanakes, Platon	1883	1919	1922	17254.0
PG31402	Ευθύδημος	Plato	-428	-348	-1	21474.0
PG31403	Απλοί Τρόποι	Chatzopoulos, Kostantinos	1868	1920	1920	8917.0
PG31404	Μύθοι	Velaras, Ioannes	1771	1823	1865	10483.0
PG31405	Η τρικυμία	Shakespeare, William	1564	1616	1913	25189.0
PG31433	Ρόδα και Μήλα, Τόμος Α'	Psicharis, Ioannis	1854	1929	1902	104307.0
